Episode,Mean Steps,Mean Rewards,Mean Q Sizes
201,242.4,-231.4,5690.1
202,244.5,-233.5,5716.5
203,234.3,-223.3,5743.3
204,160.3,-149.3,5766.7
205,170.2,-159.2,5788.4
206,185.4,-174.4,5812.0
207,279.5,-268.5,5840.3
208,275.0,-264.0,5865.1
209,277.6,-266.6,5894.3
210,191.5,-180.5,5917.6
211,240.5,-229.5,5941.9
212,219.1,-208.1,5967.4
213,144.3,-133.3,5988.8
214,285.8,-274.8,6015.9
215,223.9,-212.9,6041.8
216,277.0,-266.0,6070.8
217,319.2,-308.2,6100.2
218,336.6,-325.6,6132.8
219,215.6,-204.6,6157.1
220,224.7,-213.7,6184.4
221,178.7,-167.7,6206.0
222,312.3,-301.3,6237.3
223,216.4,-205.4,6261.6
224,168.0,-157.0,6285.5
225,181.2,-170.2,6308.2
226,180.9,-169.9,6327.8
227,282.4,-271.4,6358.6
228,158.3,-147.3,6381.1
229,277.2,-266.2,6409.5
230,419.3,-408.3,6446.9
231,377.0,-366.0,6480.3
232,281.2,-270.2,6507.0
233,286.9,-275.9,6536.8
234,358.7,-347.7,6570.3
235,216.6,-205.6,6595.5
236,343.8,-332.8,6628.8
237,398.1,-387.1,6666.2
238,263.9,-252.9,6693.0
239,305.0,-294.0,6724.2
240,232.2,-221.2,6749.9
241,318.1,-307.1,6781.2
242,439.5,-428.5,6819.0
243,237.9,-226.9,6847.6
244,155.0,-144.0,6867.3
245,176.7,-165.7,6888.3
246,207.8,-196.8,6912.1
247,318.1,-307.1,6944.1
248,260.3,-249.3,6970.8
249,256.5,-245.5,6997.9
250,299.6,-288.6,7024.7
251,159.4,-148.4,7047.2
252,262.7,-251.7,7076.4
253,245.7,-234.7,7103.7
254,418.6,-407.6,7140.6
255,409.7,-398.7,7175.3
256,233.8,-222.8,7201.6
257,241.0,-230.0,7229.3
258,307.7,-296.7,7259.1
259,366.3,-355.3,7292.3
260,451.4,-440.4,7330.8
261,305.6,-294.6,7361.8
262,266.5,-255.5,7392.7
263,202.3,-191.3,7417.6
264,381.6,-370.6,7452.1
265,288.9,-277.9,7483.0
266,282.9,-271.9,7509.4
267,187.4,-176.4,7532.1
268,260.2,-249.2,7560.7
269,388.4,-377.4,7595.7
270,220.6,-209.6,7620.3
271,223.2,-212.2,7643.8
272,146.8,-135.8,7664.1
273,221.5,-210.5,7690.4
274,204.5,-193.5,7717.0
275,253.1,-242.1,7744.9
276,278.4,-267.4,7771.7
277,329.0,-318.0,7805.0
278,199.1,-188.1,7831.6
279,230.4,-219.4,7858.4
280,357.7,-346.7,7891.8
281,296.0,-285.0,7918.4
282,312.6,-301.6,7948.6
283,313.7,-302.7,7980.7
284,333.2,-322.2,8012.5
285,339.3,-328.3,8046.4
286,158.7,-147.7,8070.0
287,300.1,-289.1,8102.4
288,345.0,-334.0,8133.6
289,380.0,-369.0,8168.5
290,236.5,-225.5,8192.1
291,280.9,-269.9,8219.2
292,266.7,-255.7,8248.6
293,269.1,-258.1,8279.8
294,214.1,-203.1,8305.4
295,223.0,-212.0,8330.6
296,313.3,-302.3,8359.8
297,282.0,-271.0,8389.5
298,242.4,-231.4,8417.3
299,168.0,-157.0,8436.8
300,249.9,-238.9,8462.6
301,267.4,-256.4,8489.8
302,267.6,-256.6,8515.9
303,238.9,-227.9,8541.2
304,239.6,-228.6,8568.2
305,171.8,-160.8,8593.0
306,288.2,-277.2,8621.0
307,293.1,-282.1,8651.4
308,256.0,-245.0,8680.2
309,155.8,-144.8,8699.7
310,209.4,-198.4,8724.2
311,432.9,-421.9,8762.2
312,245.1,-234.1,8788.6
313,276.8,-265.8,8818.0
314,266.0,-255.0,8849.2
315,162.3,-151.3,8874.2
316,210.1,-199.1,8899.2
317,224.4,-213.4,8927.6
318,168.5,-157.5,8949.4
319,216.1,-205.1,8972.5
320,301.2,-290.2,9002.3
321,223.3,-212.3,9029.4
322,194.9,-183.9,9055.0
323,362.6,-351.6,9089.2
324,390.9,-379.9,9124.0
325,439.2,-428.2,9158.8
326,303.9,-292.9,9189.0
327,250.7,-239.7,9217.6
328,240.1,-229.1,9244.0
329,322.3,-311.3,9274.5
330,395.2,-384.2,9308.4
331,267.5,-256.5,9335.6
332,309.1,-298.1,9367.4
333,253.9,-242.9,9392.6
334,333.8,-322.8,9423.6
335,331.4,-320.4,9456.0
336,223.7,-212.7,9481.2
337,316.4,-305.4,9514.9
338,393.7,-382.7,9547.8
339,293.2,-282.2,9578.2
340,322.6,-311.6,9607.3
341,346.1,-335.1,9635.5
342,226.3,-215.3,9661.1
343,300.5,-289.5,9690.6
344,396.8,-385.8,9725.5
345,259.9,-248.9,9753.6
346,269.0,-258.0,9782.4
347,175.9,-164.9,9805.6
348,292.0,-281.0,9834.2
349,201.6,-190.6,9859.9
350,338.2,-327.2,9893.9
351,143.9,-132.9,9915.4
352,349.5,-338.5,9948.2
353,376.7,-365.7,9981.8
354,184.4,-173.4,10004.9
355,296.9,-285.9,10034.9
356,184.6,-173.6,10057.8
357,318.2,-307.2,10089.7
358,281.5,-270.5,10119.1
359,304.7,-293.7,10148.0
360,333.3,-322.3,10181.5
361,176.2,-165.2,10205.2
362,262.1,-251.1,10233.9
363,327.6,-316.6,10267.3
364,404.2,-393.2,10302.1
365,264.9,-253.9,10330.8
366,261.5,-250.5,10359.2
367,249.5,-238.5,10384.9
368,227.5,-216.5,10408.6
369,305.5,-294.5,10439.9
370,291.3,-280.3,10469.4
371,228.8,-217.8,10494.3
372,410.2,-399.2,10529.8
373,279.9,-268.9,10557.4
374,214.6,-203.6,10581.2
375,195.1,-184.1,10606.5
376,326.3,-315.3,10638.1
377,325.6,-314.6,10671.2
378,347.0,-336.0,10703.2
379,264.5,-253.5,10731.7
380,182.1,-171.1,10754.8
381,281.4,-270.4,10782.0
382,283.6,-272.6,10811.0
383,271.7,-260.7,10838.6
384,270.3,-259.3,10869.5
385,248.3,-237.3,10897.4
386,230.6,-219.6,10924.0
387,201.9,-190.9,10947.5
388,245.6,-234.6,10975.8
389,237.9,-226.9,11002.0
390,261.9,-250.9,11029.7
391,246.3,-235.3,11057.4
392,340.9,-329.9,11088.6
393,241.1,-230.1,11117.3
394,274.3,-263.3,11143.4
395,332.0,-321.0,11175.2
396,355.1,-344.1,11208.3
397,473.9,-462.9,11248.7
398,242.1,-231.1,11277.0
399,240.1,-229.1,11302.5
400,259.4,-248.4,11331.3
401,445.0,-434.0,11368.6
402,266.3,-255.3,11396.4
403,296.3,-285.3,11428.0
404,121.2,-110.2,11448.1
405,296.4,-285.4,11474.1
406,377.6,-366.6,11508.3
407,286.1,-275.1,11538.0
408,374.2,-363.2,11572.3
409,297.0,-286.0,11601.6
410,303.5,-292.5,11632.2
411,258.7,-247.7,11660.0
412,259.8,-248.8,11687.6
413,356.3,-345.3,11720.5
414,318.7,-307.7,11751.0
415,308.8,-297.8,11780.2
416,248.1,-237.1,11810.2
417,259.7,-248.7,11836.7
418,238.7,-227.7,11864.5
419,239.5,-228.5,11888.6
420,278.7,-267.7,11915.5
421,254.4,-243.4,11943.0
422,294.7,-283.7,11972.8
423,300.0,-289.0,12004.1
424,255.4,-244.4,12027.3
425,218.8,-207.8,12052.4
426,248.2,-237.2,12081.6
427,350.8,-339.8,12112.0
428,189.2,-178.2,12136.7
429,311.8,-300.8,12167.9
430,226.1,-215.1,12195.9
431,141.4,-130.4,12217.4
432,238.0,-227.0,12243.5
433,173.9,-162.9,12264.6
434,286.4,-275.4,12292.3
435,325.5,-314.5,12321.9
436,234.2,-223.2,12349.8
437,248.1,-237.1,12377.9
438,244.3,-233.3,12406.4
439,221.2,-210.2,12433.1
440,293.1,-282.1,12462.1
441,231.7,-220.7,12486.5
442,335.9,-324.9,12515.8
443,198.0,-187.0,12539.9
444,256.7,-245.7,12566.9
445,298.4,-287.4,12595.1
446,196.3,-185.3,12619.5
447,261.8,-250.8,12645.6
448,263.5,-252.5,12672.1
449,345.2,-334.2,12704.1
450,199.9,-188.9,12725.6
451,304.1,-293.1,12753.0
452,234.4,-223.4,12776.4
453,193.5,-182.5,12799.7
454,253.7,-242.7,12828.5
455,216.4,-205.4,12852.2
456,301.6,-290.6,12882.6
457,144.8,-133.8,12903.7
458,255.6,-244.6,12932.4
459,260.0,-249.0,12961.1
460,261.5,-250.5,12991.5
461,275.9,-264.9,13019.4
462,303.6,-292.6,13049.8
463,249.1,-238.1,13075.3
464,288.7,-277.7,13105.7
465,362.0,-351.0,13139.2
466,277.7,-266.7,13167.0
467,324.3,-313.3,13199.4
468,173.5,-162.5,13220.9
469,150.1,-139.1,13239.8
470,188.3,-177.3,13261.5
471,315.6,-304.6,13291.4
472,173.3,-162.3,13310.6
473,292.0,-281.0,13341.4
474,204.9,-193.9,13368.3
475,254.0,-243.0,13394.9
476,190.0,-179.0,13415.0
477,293.7,-282.7,13448.0
478,244.6,-233.6,13475.2
479,208.9,-197.9,13498.6
480,263.9,-252.9,13526.2
481,319.6,-308.6,13555.9
482,253.6,-242.6,13584.4
483,365.1,-354.1,13616.8
484,246.9,-235.9,13643.5
485,373.9,-362.9,13676.3
486,136.9,-125.9,13697.7
487,230.9,-219.9,13724.8
488,249.7,-238.7,13753.1
489,117.6,-106.6,13771.7
490,283.3,-272.3,13801.6
491,171.5,-160.5,13823.8
492,168.8,-157.8,13847.4
493,271.3,-260.3,13876.6
494,278.7,-267.7,13907.1
495,227.8,-216.8,13932.7
496,281.7,-270.7,13961.1
497,284.7,-273.7,13992.6
498,284.0,-273.0,14021.1
499,355.6,-344.6,14051.3
500,318.1,-307.1,14083.6
501,241.5,-230.5,14109.9
502,304.2,-293.2,14142.4
503,284.7,-273.7,14171.9
504,285.0,-274.0,14200.3
505,253.4,-242.4,14227.4
506,259.2,-248.2,14256.5
507,163.6,-152.6,14280.1
508,335.6,-324.6,14312.3
509,325.7,-314.7,14345.6
510,295.9,-284.9,14375.4
511,164.6,-153.6,14398.5
512,234.0,-223.0,14423.6
513,93.1,-82.1,14438.7
514,112.7,-101.7,14456.4
515,158.3,-147.3,14476.4
516,166.8,-155.8,14500.6
517,242.8,-231.8,14526.3
518,248.0,-237.0,14553.2
519,252.3,-241.3,14578.8
520,325.0,-314.0,14608.5
521,325.4,-314.4,14639.2
522,343.9,-332.9,14669.0
523,311.3,-300.3,14697.5
524,345.5,-334.5,14730.6
525,325.7,-314.7,14758.8
526,243.2,-232.2,14786.1
527,205.2,-194.2,14812.9
528,266.9,-255.9,14841.1
529,327.5,-316.5,14873.5
530,195.2,-184.2,14897.2
531,216.4,-205.4,14921.4
532,199.8,-188.8,14945.7
533,285.4,-274.4,14969.8
534,389.1,-378.1,15003.4
535,297.8,-286.8,15033.9
536,352.4,-341.4,15066.3
537,271.2,-260.2,15096.0
538,349.1,-338.1,15129.2
539,293.5,-282.5,15158.9
540,299.7,-288.7,15189.2
541,296.8,-285.8,15219.2
542,423.5,-412.5,15257.5
543,419.2,-408.2,15295.7
544,323.2,-312.2,15326.0
545,193.2,-182.2,15351.0
546,318.0,-307.0,15379.6
547,317.4,-306.4,15412.1
548,221.2,-210.2,15437.1
549,378.3,-367.3,15470.8
550,231.0,-220.0,15497.9
551,344.7,-333.7,15531.4
552,335.3,-324.3,15564.2
553,279.8,-268.8,15592.6
554,208.9,-197.9,15617.2
555,263.7,-252.7,15646.3
556,237.3,-226.3,15671.1
557,296.5,-285.5,15698.7
558,284.6,-273.6,15727.6
559,196.2,-185.2,15751.1
560,398.9,-387.9,15785.4
561,252.9,-241.9,15813.2
562,285.4,-274.4,15841.2
563,298.8,-287.8,15872.4
564,145.7,-134.7,15891.0
565,199.6,-188.6,15913.4
566,201.9,-190.9,15938.6
567,184.6,-173.6,15961.8
568,197.2,-186.2,15984.2
569,159.4,-148.4,16004.0
570,223.2,-212.2,16029.1
571,237.2,-226.2,16053.9
572,272.8,-261.8,16081.8
573,365.9,-354.9,16115.4
574,270.6,-259.6,16146.4
575,158.1,-147.1,16168.9
576,235.9,-224.9,16193.3
577,332.6,-321.6,16222.7
578,136.9,-125.9,16241.1
579,246.4,-235.4,16267.0
580,178.1,-167.1,16287.9
581,307.5,-296.5,16317.9
582,255.6,-244.6,16346.1
583,268.0,-257.0,16373.3
584,240.9,-229.9,16399.2
585,176.6,-165.6,16420.2
586,318.0,-307.0,16452.5
587,289.3,-278.3,16482.1
588,230.5,-219.5,16508.3
589,185.3,-174.3,16531.4
590,263.1,-252.1,16558.9
591,357.2,-346.2,16592.5
592,339.4,-328.4,16625.1
593,219.6,-208.6,16647.3
594,327.9,-316.9,16680.5
595,314.3,-303.3,16708.9
596,166.6,-155.6,16727.7
597,302.2,-291.2,16757.6
598,268.9,-257.9,16786.6
599,205.2,-194.2,16811.0
600,283.4,-272.4,16838.4
601,423.4,-412.4,16874.1
602,247.8,-236.8,16902.3
603,288.2,-277.2,16930.4
604,173.8,-162.8,16952.3
605,415.1,-404.1,16988.4
606,289.7,-278.7,17019.3
607,285.5,-274.5,17047.7
608,271.0,-260.0,17074.5
609,411.6,-400.6,17111.5
610,245.7,-234.7,17139.6
611,267.7,-256.7,17168.1
612,262.9,-251.9,17196.2
613,374.5,-363.5,17228.5
614,223.2,-212.2,17256.4
615,231.2,-220.2,17283.6
616,376.5,-365.5,17317.6
617,330.8,-319.8,17350.7
618,170.3,-159.3,17372.5
619,256.7,-245.7,17400.8
620,217.6,-206.6,17428.5
621,261.6,-250.6,17457.4
622,231.5,-220.5,17483.0
623,264.7,-253.7,17509.5
624,272.2,-261.2,17538.7
625,287.2,-276.2,17565.0
626,262.9,-251.9,17592.6
627,248.9,-237.9,17619.7
628,149.7,-138.7,17638.7
629,131.1,-120.1,17659.6
630,257.1,-246.1,17686.7
631,203.8,-192.8,17713.9
632,372.4,-361.4,17749.1
633,285.0,-274.0,17775.9
634,286.7,-275.7,17804.4
635,243.1,-232.1,17831.5
636,220.1,-209.1,17857.3
637,286.2,-275.2,17886.9
638,251.6,-240.6,17913.8
639,187.2,-176.2,17937.7
640,168.5,-157.5,17955.3
641,316.1,-305.1,17984.4
642,343.3,-332.3,18015.8
643,228.9,-217.9,18043.3
644,314.1,-303.1,18074.5
645,318.4,-307.4,18107.2
646,285.0,-274.0,18137.3
647,331.4,-320.4,18168.7
648,158.3,-147.3,18188.0
649,226.7,-215.7,18213.2
650,223.4,-212.4,18238.5
651,115.6,-104.6,18256.9
652,226.1,-215.1,18282.4
653,178.0,-167.0,18306.0
654,251.5,-240.5,18331.4
655,286.7,-275.7,18360.9
656,247.3,-236.3,18388.5
657,284.0,-273.0,18417.6
658,257.4,-246.4,18447.6
659,356.6,-345.6,18482.8
660,256.9,-245.9,18508.2
661,235.6,-224.6,18538.8
662,268.1,-257.1,18568.2
663,262.2,-251.2,18594.7
664,158.7,-147.7,18616.2
665,213.9,-202.9,18639.8
666,239.0,-228.0,18666.2
667,189.5,-178.5,18689.2
668,315.2,-304.2,18719.8
669,282.7,-271.7,18748.8
670,217.9,-206.9,18771.8
671,303.5,-292.5,18800.5
672,137.1,-126.1,18819.8
673,242.3,-231.3,18845.6
674,137.4,-126.4,18864.9
675,245.6,-234.6,18890.9
676,305.8,-294.8,18921.7
677,266.4,-255.4,18946.2
678,330.4,-319.4,18975.2
679,307.7,-296.7,19006.8
680,295.2,-284.2,19035.3
681,323.8,-312.8,19066.4
682,157.0,-146.0,19086.5
683,256.3,-245.3,19114.8
684,358.8,-347.8,19149.1
685,254.3,-243.3,19176.4
686,211.1,-200.1,19204.2
687,259.7,-248.7,19234.0
688,313.8,-302.8,19266.8
689,310.1,-299.1,19295.8
690,297.5,-286.5,19326.9
691,184.4,-173.4,19351.2
692,120.5,-109.5,19370.7
693,232.7,-221.7,19397.6
694,271.2,-260.2,19427.0
695,371.4,-360.4,19462.3
696,189.5,-178.5,19484.7
697,235.6,-224.6,19509.9
698,399.1,-388.1,19543.8
699,362.7,-351.7,19579.1
700,197.0,-186.0,19603.6
701,282.5,-271.5,19632.7
702,314.7,-303.7,19664.2
703,343.4,-332.4,19696.3
704,297.0,-286.0,19727.1
705,174.0,-163.0,19745.7
706,205.8,-194.8,19772.8
707,204.4,-193.4,19795.4
708,207.3,-196.3,19819.9
709,279.6,-268.6,19849.3
710,386.2,-375.2,19884.2
711,276.7,-265.7,19914.1
712,222.3,-211.3,19938.0
713,240.5,-229.5,19966.1
714,390.1,-379.1,20000.4
715,173.6,-162.6,20024.2
716,345.4,-334.4,20056.9
717,169.2,-158.2,20079.3
718,226.2,-215.2,20106.1
719,250.7,-239.7,20132.2
720,273.0,-262.0,20159.9
721,258.6,-247.6,20186.8
722,356.4,-345.4,20218.8
723,276.5,-265.5,20249.2
724,282.3,-271.3,20278.0
725,318.2,-307.2,20309.7
726,238.0,-227.0,20335.4
727,254.8,-243.8,20363.3
728,331.9,-320.9,20394.7
729,247.7,-236.7,20419.5
730,292.0,-281.0,20443.6
731,316.4,-305.4,20473.1
732,211.5,-200.5,20498.0
733,260.2,-249.2,20527.1
734,391.9,-380.9,20562.1
